Sample,BAC,PCMX,Sertraline,Fluoxetin,SMZ,SMX,OFX,NOR,OTC,TET,ERM,RTM,Mg,Al,Mn,Fe,Cu,Zn,Temp,pH,DO,COD,TP,NH3-N
EFF1,1.587,0.11939004,0.0664,1.8598,0.3938,7.6578,58.8304,14.904,4.5674,4.5396,21.6594,11.44,5644.172,1977.495,92.4,1250.26,10.599,567.91,13,6.96,7.43,19.23,0.94,0.2
EFF2,0.996,0.12564903,0.0448,0.035,0.2724,0.956,10.3708,1.7024,0,0.7464,7.4664,2.3006,6451.23,1856.24,68.564,1050.236,22.852,333.985,19,7.32,4.08,19.67,0.19,0.79
EFF3,0.5006,0.10010774,0.1182,0,0.1772,1.615,28.761,9.2022,0.657,1.5544,11.6022,11.8234,6445.493,1.33E+03,63.067,39.638,22.599,344.367,17,6.87,6.2,21.21,0.03,0.13
EFF4,0.5554,0.11001239,0.0832,0,0.8246,1.804,17.5268,3.273,0,0,3.1106,6.779,7349.71,1568.95,53.564,1008.359,22.244,252.261,23,6.96,4.08,25.63,0.56,0.81
INF1,17.9774,8.78668267,0,0.789,0.5298,3.7852,56.2396,7.5506,6.9752,3.5342,4.7356,7.2796,12482.09,2284.641,140.22,3110.37,51.01,622.53,14,6.99,2.83,300.41,2.06,1.9
INF2,1.3492,2.37515294,0,0.0722,0.1968,0.646,1.8092,17.6242,0,0,1.6578,2.0484,10007.036,3184.117,99.32,2450.52,40.04,532.367,18,6.7,2.06,234.21,2.89,2.39
INF3,0.499,0.11767189,0,0.0566,0.8478,0.8948,25.8342,12.8816,0.4668,2.5208,14.4544,9.4502,10395.16,1677.291,80.234,1410.82,32.14,467.343,19,6.93,2.46,183.6,2.12,3.49
INF4,28.0408,31.75012079,0.0404,0,1.0048,2.3512,22.7034,2.6416,6.2362,0,2.7284,9.4514,14640.83,2730.56,65.32,1820.55,44.33,516.214,23,6.72,1.36,277.65,2.39,1.51
RD1,1.5936,0.0560277,0.0136,0.42,0.7882,0.9182,0,0.5642,0.525,1.5548,7.3748,3.4238,4449.431,1223.128,72.123,189.65,9.399,566.241,15,6.95,5.21,21.56,0.14,0.23
RD2,0.5074,0.05552236,0,0.1468,1.1068,0.5222,0,0,0,0,3.3488,0.096,4695.23,1325.64,63.654,198.325,12.022,329.2,21,6.93,4.55,23.32,0.19,0.68
RD3,0.3684,0.14612972,0,0,0.0934,0.5364,0.2938,0.4608,0,0.7086,3.368,1.3542,4250.76,1325.36,64.513,49.916,11.592,350.341,24,6.92,4.04,21.43,0.07,0.08
RD4,0.654,0.08451441,0.0202,0,0.3688,0.6322,0.2776,0,0,0,0.5712,0.1386,5378.23,1224.204,43.459,254.36,12.247,323.125,28,7.21,4.29,25.67,0.26,0.32
